titre_original,durée,date,score,nbr_votants,desciption,genre,acteurs
Logan,137,2017,8.1,782K,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Action,Drama,Sci-Fi","James Mangold,Scott Frank,Michael Green,Hugh Jackman,Patrick Stewart,Dafne Keen,James Mangold,Scott Frank,Michael Green,Hugh Jackman,Patrick Stewart,Dafne Keen"
Spotlight,129,2015,8.1,480K,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography,Crime,Drama","Mark Ruffalo,Michael Keaton,Rachel McAdams,Mark Ruffalo,Michael Keaton,Rachel McAdams"
Ratatouille,111,2007,8.1,760K,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Animation,Adventure,Comedy","Brad Bird,Jan Pinkava,Jim Capobianco,Brad Garrett,Lou Romano,Patton Oswalt,Brad Bird,Jan Pinkava,Jim Capobianco,Brad Garrett,Lou Romano,Patton Oswalt"
Hotel Rwanda,121,2004,8.1,361K,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography,Drama,History","Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Don Cheadle,Sophie Okonedo,Joaquin Phoenix"
Ford v Ferrari,152,2019,8.1,412K,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"Action,Biography,Drama","Matt Damon,Christian Bale,Jon Bernthal,Matt Damon,Christian Bale,Jon Bernthal"
The Passion of Joan of Arc,114,1928,8.2,57K,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography,Drama,History","Maria Falconetti,Eugene Silvain,André Berley,Maria Falconetti,Eugene Silvain,André Berley"
Tokyo Story,136,1953,8.2,64K,"An old couple visit their children and grandchildren in the city, but receive little attention.",Drama,"Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Chishû Ryû,Chieko Higashiyama,Sô Yamamura"
The Big Lebowski,117,1998,8.1,823K,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.","Comedy,Crime","Jeff Bridges,John Goodman,Julianne Moore,Jeff Bridges,John Goodman,Julianne Moore"
Room,118,2015,8.1,430K,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","Drama,Thriller","Brie Larson,Jacob Tremblay,Sean Bridgers,Brie Larson,Jacob Tremblay,Sean Bridgers"
Jaws,124,1975,8.1,620K,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Adventure,Thriller","Roy Scheider,Robert Shaw,Richard Dreyfuss,Roy Scheider,Robert Shaw,Richard Dreyfuss"
Dead Poets Society,128,1989,8.1,506K,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"Comedy,Drama","Robin Williams,Robert Sean Leonard,Ethan Hawke,Robin Williams,Robert Sean Leonard,Ethan Hawke"
"Monsters, Inc.",92,2001,8.1,927K,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","Animation,Adventure,Comedy","Pete Docter,Jill Culton,Jeff Pidgeon,Billy Crystal,John Goodman,Mary Gibbs,Pete Docter,Jill Culton,Jeff Pidgeon,Billy Crystal,John Goodman,Mary Gibbs"
How to Train Your Dragon,98,2010,8.1,756K,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation,Action,Adventure","Will Davies,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,Will Davies,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse"
The Seventh Seal,96,1957,8.1,189K,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Drama,Fantasy","Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot"
Mary and Max,92,2009,8.1,180K,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","Animation,Comedy,Drama","Toni Collette,Philip Seymour Hoffman,Eric Bana,Toni Collette,Philip Seymour Hoffman,Eric Bana"
Mr. Smith Goes to Washington,129,1939,8.1,117K,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.","Comedy,Drama","James Stewart,Jean Arthur,Claude Rains,James Stewart,Jean Arthur,Claude Rains"
Wild Tales,122,2014,8.1,204K,Six short stories that explore the extremities of human behavior involving people in distress.,"Comedy,Drama,Thriller","Darío Grandinetti,María Marull,Mónica Villa,Darío Grandinetti,María Marull,Mónica Villa"
Memories of Murder,132,2003,8.1,194K,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Crime,Drama,Mystery","Song Kang-ho,Kim Sang-kyung,Roe-ha Kim,Song Kang-ho,Kim Sang-kyung,Roe-ha Kim"
The Wages of Fear,131,1953,8.2,63K,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure,Drama,Thriller","Yves Montand,Charles Vanel,Peter van Eyck,Yves Montand,Charles Vanel,Peter van Eyck"
Hacksaw Ridge,139,2016,8.1,544K,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Biography,Drama,History","Andrew Garfield,Sam Worthington,Luke Bracey,Andrew Garfield,Sam Worthington,Luke Bracey"
The Third Man,93,1949,8.1,175K,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir,Mystery,Thriller","Graham Greene,Orson Welles,Alexander Korda,Orson Welles,Joseph Cotten,Alida Valli,Graham Greene,Orson Welles,Alexander Korda,Orson Welles,Joseph Cotten,Alida Valli"
The Deer Hunter,183,1978,8.1,345K,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"Drama,War","Michael Cimino,Deric Washburn,Louis Garfinkle,Robert De Niro,Christopher Walken,John Cazale,Michael Cimino,Deric Washburn,Louis Garfinkle,Robert De Niro,Christopher Walken,John Cazale"
In the Name of the Father,133,1993,8.1,179K,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Biography,Crime,Drama","Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie"
Barry Lyndon,185,1975,8.1,173K,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Adventure,Drama,War","Ryan O'Neal,Marisa Berenson,Patrick Magee,Ryan O'Neal,Marisa Berenson,Patrick Magee"
The General,67,1926,8.1,93K,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.","Action,Adventure,Comedy","Buster Keaton,Clyde Bruckman,Al Boasberg,Buster Keaton,Marion Mack,Glen Cavender,Buster Keaton,Clyde Bruckman,Al Boasberg,Buster Keaton,Marion Mack,Glen Cavender"
Wild Strawberries,91,1957,8.1,109K,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Drama,Romance","Victor Sjöström,Bibi Andersson,Ingrid Thulin,Victor Sjöström,Bibi Andersson,Ingrid Thulin"
Gone Girl,149,2014,8.1,1M,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Drama,Mystery,Thriller","Ben Affleck,Rosamund Pike,Neil Patrick Harris,Ben Affleck,Rosamund Pike,Neil Patrick Harris"
The Grand Budapest Hotel,99,2014,8.1,832K,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Adventure,Comedy,Crime","Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric"
On the Waterfront,108,1954,8.1,158K,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.","Crime,Drama,Thriller","Marlon Brando,Karl Malden,Lee J. Cobb,Marlon Brando,Karl Malden,Lee J. Cobb"
Ben-Hur,212,1959,8.1,244K,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","Adventure,Drama","Lew Wallace,Karl Tunberg,Gore Vidal,Charlton Heston,Jack Hawkins,Stephen Boyd,Lew Wallace,Karl Tunberg,Gore Vidal,Charlton Heston,Jack Hawkins,Stephen Boyd"
12 Years a Slave,134,2013,8.1,713K,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Biography,Drama,History","Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender"
Before Sunrise,101,1995,8.1,318K,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama,Romance","Ethan Hawke,Julie Delpy,Andrea Eckert,Ethan Hawke,Julie Delpy,Andrea Eckert"
Harry Potter and the Deathly Hallows: Part 2,130,2011,8.1,895K,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Adventure,Family,Fantasy","Daniel Radcliffe,Emma Watson,Rupert Grint,Daniel Radcliffe,Emma Watson,Rupert Grint"
Klaus,96,2019,8.2,165K,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Animation,Adventure,Comedy","Jason Schwartzman,J.K. Simmons,Rashida Jones,Jason Schwartzman,J.K. Simmons,Rashida Jones"
The Gold Rush,95,1925,8.1,113K,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","Adventure,Comedy,Drama","Charles Chaplin,Mack Swain,Tom Murray,Charles Chaplin,Mack Swain,Tom Murray"
Blade Runner,117,1982,8.1,784K,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Action,Drama,Sci-Fi","Harrison Ford,Rutger Hauer,Sean Young,Harrison Ford,Rutger Hauer,Sean Young"
Children of Heaven,89,1997,8.2,76K,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Drama,Family,Sport","Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi"
Million Dollar Baby,132,2004,8.1,697K,A determined woman works with a hardened boxing trainer to become a professional.,"Drama,Sport","Hilary Swank,Clint Eastwood,Morgan Freeman,Hilary Swank,Clint Eastwood,Morgan Freeman"
My Neighbor Totoro,86,1988,8.1,350K,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Animation,Comedy,Family","Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto"
Catch Me If You Can,141,2002,8.1,1M,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography,Crime,Drama","Leonardo DiCaprio,Tom Hanks,Christopher Walken,Leonardo DiCaprio,Tom Hanks,Christopher Walken"
John Wick: Chapter 4,169,2023,8.2,117K,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Action,Crime,Thriller","Keanu Reeves,Laurence Fishburne,George Georgiou,Keanu Reeves,Laurence Fishburne,George Georgiou"
Gran Torino,116,2008,8.1,786K,"After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Drama,"Clint Eastwood,Bee Vang,Christopher Carley,Clint Eastwood,Bee Vang,Christopher Carley"
Fargo,98,1996,8.1,690K,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime,Thriller","William H. Macy,Frances McDormand,Steve Buscemi,William H. Macy,Frances McDormand,Steve Buscemi"
Warrior,140,2011,8.2,480K,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Action,Drama,Sport","Tom Hardy,Nick Nolte,Joel Edgerton,Tom Hardy,Nick Nolte,Joel Edgerton"
Prisoners,153,2013,8.1,739K,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Crime,Drama,Mystery","Hugh Jackman,Jake Gyllenhaal,Viola Davis,Hugh Jackman,Jake Gyllenhaal,Viola Davis"
The Bridge on the River Kwai,161,1957,8.1,225K,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","Adventure,Drama,War","William Holden,Alec Guinness,Jack Hawkins,William Holden,Alec Guinness,Jack Hawkins"
Trainspotting,93,1996,8.1,698K,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Ewan McGregor,Ewen Bremner,Jonny Lee Miller"
"Three Billboards Outside Ebbing, Missouri",115,2017,8.1,523K,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Comedy,Crime,Drama","Frances McDormand,Woody Harrelson,Sam Rockwell,Frances McDormand,Woody Harrelson,Sam Rockwell"
Howl's Moving Castle,119,2004,8.2,408K,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Animation,Adventure,Family","Chieko Baisho,Takuya Kimura,Tatsuya Gashûin,Chieko Baisho,Takuya Kimura,Tatsuya Gashûin"
The Secret in Their Eyes,129,2009,8.2,213K,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"Drama,Mystery,Romance","Ricardo Darín,Soledad Villamil,Pablo Rago,Ricardo Darín,Soledad Villamil,Pablo Rago"
Inside Out,95,2015,8.1,731K,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Animation,Adventure,Comedy","Pete Docter,Ronnie Del Carmen,Meg LeFauve,Amy Poehler,Bill Hader,Lewis Black,Pete Docter,Ronnie Del Carmen,Meg LeFauve,Amy Poehler,Bill Hader,Lewis Black"
Dial M for Murder,105,1954,8.2,180K,A former tennis star arranges the murder of his adulterous wife.,"Crime,Thriller","Ray Milland,Grace Kelly,Robert Cummings,Ray Milland,Grace Kelly,Robert Cummings"
"Lock, Stock and Two Smoking Barrels",107,1998,8.1,592K,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","Action,Comedy,Crime","Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Flemyng,Dexter Fletcher,Nick Moran"
Gone with the Wind,238,1939,8.2,321K,American motion picture classic in which a manipulative woman and a roguish man conduct a turbulent romance during the Civil War and Reconstruction periods.,"Drama,Romance,War","Margaret Mitchell,Sidney Howard,Oliver H.P. Garrett,Clark Gable,Vivien Leigh,Thomas Mitchell,Margaret Mitchell,Sidney Howard,Oliver H.P. Garrett,Clark Gable,Vivien Leigh,Thomas Mitchell"
V for Vendetta,132,2005,8.2,1.1M,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","Action,Drama,Sci-Fi","Hugo Weaving,Natalie Portman,Rupert Graves,Hugo Weaving,Natalie Portman,Rupert Graves"
Raging Bull,129,1980,8.1,361K,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Biography,Drama,Sport","Jake LaMotta,Joseph Carter,Peter Savage,Robert De Niro,Cathy Moriarty,Joe Pesci,Jake LaMotta,Joseph Carter,Peter Savage,Robert De Niro,Cathy Moriarty,Joe Pesci"
Chinatown,130,1974,8.2,333K,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","Drama,Mystery,Thriller","Jack Nicholson,Faye Dunaway,John Huston,Jack Nicholson,Faye Dunaway,John Huston"
The Elephant Man,124,1980,8.2,247K,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","Biography,Drama","Christopher De Vore,Eric Bergren,David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,Christopher De Vore,Eric Bergren,David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft"
Finding Nemo,100,2003,8.2,1.1M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation,Adventure,Comedy","Albert Brooks,Ellen DeGeneres,Alexander Gould,Albert Brooks,Ellen DeGeneres,Alexander Gould"
Spider-Man: No Way Home,148,2021,8.2,786K,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Action,Adventure,Fantasy","Chris McKenna,Erik Sommers,Stan Lee,Tom Holland,Zendaya,Benedict Cumberbatch,Chris McKenna,Erik Sommers,Stan Lee,Tom Holland,Zendaya,Benedict Cumberbatch"
The Thing,109,1982,8.2,436K,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror,Mystery,Sci-Fi","Kurt Russell,Wilford Brimley,Keith David,Kurt Russell,Wilford Brimley,Keith David"
Rashomon,88,1950,8.2,172K,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Crime,Drama,Mystery","Toshirô Mifune,Machiko Kyô,Masayuki Mori,Toshirô Mifune,Machiko Kyô,Masayuki Mori"
The Great Escape,172,1963,8.2,249K,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Adventure,Drama,History","Steve McQueen,James Garner,Richard Attenborough,Steve McQueen,James Garner,Richard Attenborough"
Kill Bill: Vol. 1,111,2003,8.2,1.1M,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action,Crime,Drama","Uma Thurman,David Carradine,Daryl Hannah,Uma Thurman,David Carradine,Daryl Hannah"
No Country for Old Men,122,2007,8.2,995K,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Crime,Drama,Thriller","Tommy Lee Jones,Javier Bardem,Josh Brolin,Tommy Lee Jones,Javier Bardem,Josh Brolin"
Monty Python and the Holy Grail,91,1975,8.2,550K,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Adventure,Comedy,Fantasy","Graham Chapman,John Cleese,Eric Idle,Graham Chapman,John Cleese,Eric Idle,Graham Chapman,John Cleese,Eric Idle,Graham Chapman,John Cleese,Eric Idle"
The Treasure of the Sierra Madre,126,1948,8.2,127K,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Adventure,Drama,Western","Humphrey Bogart,Walter Huston,Tim Holt,Humphrey Bogart,Walter Huston,Tim Holt"
Yojimbo,110,1961,8.2,125K,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Action,Drama,Thriller","Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai"
Jurassic Park,127,1993,8.2,1M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Action,Adventure,Sci-Fi","Sam Neill,Laura Dern,Jeff Goldblum,Sam Neill,Laura Dern,Jeff Goldblum"
A Beautiful Mind,135,2001,8.2,946K,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Biography,Drama","Russell Crowe,Ed Harris,Jennifer Connelly,Russell Crowe,Ed Harris,Jennifer Connelly"
Shutter Island,138,2010,8.2,1.3M,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Mystery,Thriller","Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo"
The Sixth Sense,107,1999,8.2,1M,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.","Drama,Mystery,Thriller","Bruce Willis,Haley Joel Osment,Toni Collette,Bruce Willis,Haley Joel Osment,Toni Collette"
Unforgiven,130,1992,8.2,419K,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Drama,Western","Clint Eastwood,Gene Hackman,Morgan Freeman,Clint Eastwood,Gene Hackman,Morgan Freeman"
Pan's Labyrinth,118,2006,8.2,678K,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Drama,Fantasy,War","Ivana Baquero,Ariadna Gil,Sergi López,Ivana Baquero,Ariadna Gil,Sergi López"
There Will Be Blood,158,2007,8.2,599K,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Daniel Day-Lewis,Paul Dano,Ciarán Hinds"
The Truman Show,103,1998,8.2,1.1M,An insurance salesman discovers his whole life is actually a reality TV show.,"Comedy,Drama","Jim Carrey,Ed Harris,Laura Linney,Jim Carrey,Ed Harris,Laura Linney"
Casino,178,1995,8.2,531K,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.","Crime,Drama","Robert De Niro,Sharon Stone,Joe Pesci,Robert De Niro,Sharon Stone,Joe Pesci"
Ran,162,1985,8.2,128K,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Action,Drama,War","Akira Kurosawa,Hideo Oguni,Masato Ide,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Akira Kurosawa,Hideo Oguni,Masato Ide,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu"
Judgment at Nuremberg,179,1961,8.3,79K,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Drama,War","Spencer Tracy,Burt Lancaster,Richard Widmark,Spencer Tracy,Burt Lancaster,Richard Widmark"
Green Book,130,2018,8.2,513K,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography,Comedy,Drama","Viggo Mortensen,Mahershala Ali,Linda Cardellini,Viggo Mortensen,Mahershala Ali,Linda Cardellini"
All About Eve,138,1950,8.2,134K,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Drama,"Bette Davis,Anne Baxter,George Sanders,Bette Davis,Anne Baxter,George Sanders"
The Father,97,2020,8.2,165K,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","Drama,Mystery","Anthony Hopkins,Olivia Colman,Mark Gatiss,Anthony Hopkins,Olivia Colman,Mark Gatiss"
Some Like It Hot,121,1959,8.2,272K,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Comedy,Music,Romance","Billy Wilder,I.A.L. Diamond,Robert Thoeren,Marilyn Monroe,Tony Curtis,Jack Lemmon,Billy Wilder,I.A.L. Diamond,Robert Thoeren,Marilyn Monroe,Tony Curtis,Jack Lemmon"
The Kid,68,1921,8.3,129K,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Comedy,Drama,Family","Charles Chaplin,Edna Purviance,Jackie Coogan,Charles Chaplin,Edna Purviance,Jackie Coogan"
Batman Begins,140,2005,8.2,1.5M,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Action,Crime,Drama","Christian Bale,Michael Caine,Ken Watanabe,Christian Bale,Michael Caine,Ken Watanabe"
For a Few Dollars More,132,1965,8.2,262K,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,Western,"Sergio Leone,Fulvio Morsella,Luciano Vincenzoni,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,Sergio Leone,Fulvio Morsella,Luciano Vincenzoni,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè"
Dangal,161,2016,8.3,196K,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Biography,Drama,Sport","Piyush Gupta,Shreyas Jain,Nikhil Mehrotra,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Piyush Gupta,Shreyas Jain,Nikhil Mehrotra,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh"
Downfall,156,2004,8.2,361K,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography,Drama,History","Bernd Eichinger,Joachim Fest,Traudl Junge,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,Bernd Eichinger,Joachim Fest,Traudl Junge,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes"
Top Gun: Maverick,130,2022,8.3,570K,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Action,Drama","Jim Cash,Jack Epps Jr.,Peter Craig,Tom Cruise,Jennifer Connelly,Miles Teller,Jim Cash,Jack Epps Jr.,Peter Craig,Tom Cruise,Jennifer Connelly,Miles Teller"
1917,119,2019,8.2,614K,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Action,Drama,War","Dean-Charles Chapman,George MacKay,Daniel Mays,Dean-Charles Chapman,George MacKay,Daniel Mays"
Like Stars on Earth,165,2007,8.3,197K,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama,Family","Darsheel Safary,Aamir Khan,Tanay Chheda,Darsheel Safary,Aamir Khan,Tanay Chheda"
Bicycle Thieves,89,1948,8.3,167K,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama,"Cesare Zavattini,Luigi Bartolini,Oreste Biancoli,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Cesare Zavattini,Luigi Bartolini,Oreste Biancoli,Lamberto Maggiorani,Enzo Staiola,Lianella Carell"
