acteurs,date,desciption,durée,genre,nbr_eposodes,nbr_saison,nbr_votants,score,titre_original
"Scott Ryan,Chika Yasumura,Justin Rosniak",2018–2021,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",30,"Crime,Drama",26,3 seasons,21K,8.6,Mr Inbetween
"Jodie Whittaker,Peter Capaldi,Pearl Mackie",2005– ,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,45,"Adventure,Drama,Sci-Fi",203,14 seasons,230K,8.6,Doctor Who
"Kyle MacLachlan,Sheryl Lee,Michael Horse",2017,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,60,"Crime,Drama,Horror",18,,70K,8.5,Twin Peaks
"Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch",2015–2017,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",30,"Drama,Romance",43,4 seasons,36K,8.6,Skam
"Evan Rachel Wood,Jeffrey Wright,Ed Harris",2016–2022,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",62,"Drama,Mystery,Sci-Fi",36,4 seasons,514K,8.5,Westworld
"Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith",2004,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",235,"Drama,Romance",4,,33K,8.6,North & South
"John Paul Tremblay,Robb Wells,Mike Smith",2001–2018,Three petty felons have a documentary made about their life in a trailer park.,30,"Comedy,Crime",106,12 seasons,46K,8.6,Trailer Park Boys
"Christopher Morris,Mark Heap,Kevin Eldon",1997–2001,"Controversal spoof of current affairs television, and the role of celebrity in the UK.",25,Comedy,7,2 seasons,11K,8.6,Brass Eye
"Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi",1995–1996,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,24,"Animation,Action,Drama",26,4 years,75K,8.5,Neon Genesis Evangelion
"Park Eun-bin,Kang Tae-oh,Kang Ki-young",2022,"Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.",75,Drama,16,,19K,8.7,Extraordinary Attorney Woo
"Charlie Hunnam,Katey Sagal,Mark Boone Junior",2008–2014,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,"Crime,Drama,Thriller",92,7 seasons,305K,8.6,Sons of Anarchy
"Mackenzie Crook,Toby Jones,Rachael Stirling",2014–2022,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",30,Comedy,20,3 seasons,17K,8.6,Detectorists
"Emmy Rossum,William H. Macy,Ethan Cutkosky",2011–2021,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46,"Comedy,Drama",134,11 seasons,252K,8.6,Shameless
"Shaun Evans,Roger Allam,James Bradshaw",2012–2023,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",89,"Crime,Drama,Mystery",36,9 seasons,29K,8.6,Endeavour
"Andy Whitfield,Lucy Lawless,Manu Bennett",2010–2013,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55,"Action,Adventure,Biography",34,3 seasons,247K,8.5,Spartacus
"Setsuo Ito,Takahiro Sakurai,Chris Niosi",2016–2022,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",24,"Animation,Action,Comedy",37,3 seasons,37K,8.6,Mob Psycho 100
"Kenan Imirzalioglu,Cansu Dere,Yigit Özsener",2009–2011,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",90,"Crime,Drama,Thriller",71,2 seasons,34K,8.7,Ezel
"Phil LaMarr,Mako,Kevin Michael Richardson",2001–2017,"A samurai, sent through time, fights to return home and save the world.",25,"Animation,Action,Adventure",62,5 seasons,56K,8.5,Samurai Jack
"Jared Keeso,Nathan Dales,Michelle Mylett",2016– ,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",30,Comedy,75,12 seasons,25K,8.7,Letterkenny
"Morgan Freeman,Sean Carroll,Michio Kaku",2010–2017,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ..., ,Read all",60,Documentary,62,8 seasons,18K,8.6,Through the Wormhole
"Drew Carey,Colin Mochrie,Ryan Stiles",1998–2007,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,30,"Comedy,Game-Show",220,8 seasons,45K,8.5,Whose Line Is It Anyway?
"Ricky Gervais,Martin Freeman,Mackenzie Crook",2001–2003,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,30,"Comedy,Drama",14,3 seasons,117K,8.5,The Office
"Nathan Fielder,Journey Baker,Anna Lamadrid",2022– ,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,30,"Documentary,Comedy",7,2 seasons,21K,8.6,The Rehearsal
"Louis C.K.,Hadley Delany,Ursula Parker",2010–2015,"The life of Louie C.K., a divorced comedian living in New York with two kids.",22,"Comedy,Drama",61,5 seasons,80K,8.5,Louie
"Steve Coogan,Simon Greenall,Felicity Montagu",1997–2002,"A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.",29,Comedy,12,2 seasons,21K,8.6,I'm Alan Partridge
"Rami Malek,Christian Slater,Carly Chaikin",2015–2019,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",49,"Crime,Drama,Thriller",45,4 seasons,397K,8.5,Mr. Robot
