acteurs,date,desciption,durée,genre,nbr_eposodes,nbr_saison,nbr_votants,score,titre_original
All About Eve,138,1950,8.2,134K,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Drama,"Bette Davis,Anne Baxter,George Sanders",,
The Father,97,2020,8.2,165K,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","Drama,Mystery","Anthony Hopkins,Olivia Colman,Mark Gatiss",,
Some Like It Hot,121,1959,8.2,272K,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Comedy,Music,Romance","Billy Wilder,I.A.L. Diamond,Robert Thoeren",,
The Kid,68,1921,8.3,129K,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Comedy,Drama,Family","Charles Chaplin,Edna Purviance,Jackie Coogan",,
Batman Begins,140,2005,8.2,1.5M,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Action,Crime,Drama","Christian Bale,Michael Caine,Ken Watanabe",,
For a Few Dollars More,132,1965,8.2,262K,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,Western,"Sergio Leone,Fulvio Morsella,Luciano Vincenzoni",,
Dangal,161,2016,8.3,196K,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Action,Biography,Drama","Piyush Gupta,Shreyas Jain,Nikhil Mehrotra",,
Downfall,156,2004,8.2,361K,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography,Drama,History","Bernd Eichinger,Joachim Fest,Traudl Junge",,
Top Gun: Maverick,130,2022,8.3,571K,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Action,Drama","Jim Cash,Jack Epps Jr.,Peter Craig",,
1917,119,2019,8.2,614K,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Action,Drama,War","Dean-Charles Chapman,George MacKay,Daniel Mays",,
Like Stars on Earth,165,2007,8.3,197K,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama,Family","Darsheel Safary,Aamir Khan,Tanay Chheda",,
Bicycle Thieves,89,1948,8.3,167K,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama,"Cesare Zavattini,Luigi Bartolini,Oreste Biancoli",,
Snatch,102,2000,8.2,870K,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Comedy,Crime","Jason Statham,Brad Pitt,Stephen Graham",,
Indiana Jones and the Last Crusade,127,1989,8.2,768K,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Action,Adventure","Jeffrey Boam,George Lucas,Menno Meyjes",,
Die Hard,132,1988,8.2,898K,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Action,Thriller","Bruce Willis,Alan Rickman,Bonnie Bedelia",,
Taxi Driver,114,1976,8.2,857K,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Crime,Drama","Robert De Niro,Jodie Foster,Cybill Shepherd",,
L.A. Confidential,138,1997,8.2,591K,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","Crime,Drama,Mystery","Kevin Spacey,Russell Crowe,Guy Pearce",,
Metropolis,153,1927,8.3,177K,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","Drama,Sci-Fi","Brigitte Helm,Alfred Abel,Gustav Fröhlich",,
A Separation,123,2011,8.3,249K,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Drama,"Payman Maadi,Leila Hatami,Sareh Bayat",,
The Sting,129,1973,8.3,268K,Two grifters team up to pull off the ultimate con.,"Comedy,Crime,Drama","Paul Newman,Robert Redford,Robert Shaw",,
Up,96,2009,8.3,1.1M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Animation,Adventure,Comedy","Edward Asner,Jordan Nagai,John Ratzenberger",,
To Kill a Mockingbird,129,1962,8.3,321K,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.","Crime,Drama","Gregory Peck,John Megna,Frank Overton",,
Heat,170,1995,8.3,669K,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"Action,Crime,Drama","Al Pacino,Robert De Niro,Val Kilmer",,
Incendies,131,2010,8.3,183K,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Drama,Mystery","Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",,
Hamilton,160,2020,8.3,100K,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Biography,Drama,History","Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.",,
Scarface,170,1983,8.3,860K,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Crime,Drama","Oliver Stone,Howard Hawks,Ben Hecht",,
Full Metal Jacket,116,1987,8.3,755K,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Drama,War","Matthew Modine,R. Lee Ermey,Vincent D'Onofrio",,
A Clockwork Orange,136,1971,8.3,844K,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Crime,Sci-Fi","Malcolm McDowell,Patrick Magee,Michael Bates",,
Double Indemnity,107,1944,8.3,160K,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","Crime,Drama,Film-Noir","Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",,
Amélie,122,2001,8.3,767K,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Comedy,Romance","Audrey Tautou,Mathieu Kassovitz,Rufus",,
The Apartment,125,1960,8.3,186K,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Comedy,Drama,Romance","Jack Lemmon,Shirley MacLaine,Fred MacMurray",,
Vertigo,128,1958,8.3,409K,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","Mystery,Romance,Thriller","Alec Coppel,Samuel A. Taylor,Pierre Boileau",,
North by Northwest,136,1959,8.3,333K,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Action,Adventure,Mystery","Cary Grant,Eva Marie Saint,James Mason",,
Ikiru,143,1952,8.3,81K,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,Drama,"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori",,
M,99,1931,8.3,161K,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Crime,Mystery,Thriller","Peter Lorre,Ellen Widmann,Inge Landgut",,
Lawrence of Arabia,218,1962,8.3,300K,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Adventure,Biography,Drama","Peter O'Toole,Alec Guinness,Anthony Quinn",,
Citizen Kane,119,1941,8.3,449K,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","Drama,Mystery","Herman J. Mankiewicz,Orson Welles,John Houseman",,
The Hunt,115,2012,8.3,339K,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Drama,"Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",,
Reservoir Dogs,99,1992,8.3,1M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Crime,Thriller","Harvey Keitel,Tim Roth,Michael Madsen",,
Come and See,142,1985,8.4,85K,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Drama,Thriller,War","Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",,
Eternal Sunshine of the Spotless Mind,108,2004,8.3,1M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.","Drama,Romance,Sci-Fi","Jim Carrey,Kate Winslet,Tom Wilkinson",,
2001: A Space Odyssey,149,1968,8.3,682K,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.","Adventure,Sci-Fi","Keir Dullea,Gary Lockwood,William Sylvester",,
Star Wars: Episode VI - Return of the Jedi,131,1983,8.3,1.1M,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","Action,Adventure,Fantasy","Mark Hamill,Harrison Ford,Carrie Fisher",,
Capernaum,126,2018,8.4,94K,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama,"Nadine Labaki,Jihad Hojeily,Michelle Keserwany",,
Toy Story 3,103,2010,8.3,851K,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Animation,Adventure,Comedy","John Lasseter,Andrew Stanton,Lee Unkrich",,
High and Low,143,1963,8.4,47K,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"Crime,Drama,Mystery","Hideo Oguni,Ryûzô Kikushima,Eijirô Hisaita",,
Requiem for a Dream,102,2000,8.3,858K,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama,"Ellen Burstyn,Jared Leto,Jennifer Connelly",,
3 Idiots,170,2009,8.4,409K,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Comedy,Drama","Abhijat Joshi,Rajkumar Hirani,Vidhu Vinod Chopra",,
Singin' in the Rain,103,1952,8.3,248K,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Comedy,Musical,Romance","Gene Kelly,Donald O'Connor,Debbie Reynolds",,
Your Name.,106,2016,8.4,282K,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Animation,Drama,Fantasy","Ryunosuke Kamiki,Mone Kamishiraishi,Ryo Narita",,
Good Will Hunting,126,1997,8.3,996K,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Drama,Romance","Robin Williams,Matt Damon,Ben Affleck",,
Once Upon a Time in America,229,1984,8.3,358K,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Crime,Drama","Harry Grey,Leonardo Benvenuti,Piero De Bernardi",,
Princess Mononoke,134,1997,8.3,404K,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Animation,Action,Adventure","Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",,
Avengers: Endgame,181,2019,8.4,1.2M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Action,Adventure,Drama","Christopher Markus,Stephen McFeely,Stan Lee",,
Joker,122,2019,8.4,1.3M,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.","Crime,Drama,Thriller","Todd Phillips,Scott Silver,Bob Kane",,
Braveheart,178,1995,8.4,1.1M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Biography,Drama,History","Mel Gibson,Sophie Marceau,Patrick McGoohan",,
Toy Story,81,1995,8.3,1M,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Animation,Adventure,Comedy","John Lasseter,Pete Docter,Andrew Stanton",,
Coco,105,2017,8.4,528K,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation,Adventure,Comedy","Lee Unkrich,Jason Katz,Matthew Aldrich",,
Amadeus,160,1984,8.4,408K,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.","Biography,Drama,Music","F. Murray Abraham,Tom Hulce,Elizabeth Berridge",,
Inglourious Basterds,153,2009,8.3,1.5M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Adventure,Drama,War","Brad Pitt,Diane Kruger,Eli Roth",,
Oldboy,120,2003,8.4,592K,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Action,Drama,Mystery","Garon Tsuchiya,Nobuaki Minegishi,Park Chan-wook",,
The Dark Knight Rises,164,2012,8.4,1.7M,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.","Action,Drama,Thriller","Jonathan Nolan,Christopher Nolan,David S. Goyer",,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,1964,8.4,498K,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","Comedy,War","Peter Sellers,George C. Scott,Sterling Hayden",,
American Beauty,122,1999,8.4,1.2M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Drama,"Kevin Spacey,Annette Bening,Thora Birch",,
Spider-Man: Into the Spider-Verse,117,2018,8.4,555K,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Animation,Action,Adventure","Shameik Moore,Jake Johnson,Hailee Steinfeld",,
Aliens,137,1986,8.4,729K,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Action,Adventure,Sci-Fi","James Cameron,David Giler,Walter Hill",,
Witness for the Prosecution,116,1957,8.4,129K,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Crime,Drama,Mystery","Agatha Christie,Billy Wilder,Harry Kurnitz",,
Avengers: Infinity War,149,2018,8.4,1.1M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Action,Adventure,Sci-Fi","Christopher Markus,Stephen McFeely,Stan Lee",,
The Great Dictator,125,1940,8.4,228K,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Comedy,Drama,War","Charles Chaplin,Paulette Goddard,Jack Oakie",,
The Shining,146,1980,8.4,1M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Drama,Horror","Jack Nicholson,Shelley Duvall,Danny Lloyd",,
Paths of Glory,88,1957,8.4,201K,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Drama,War","Stanley Kubrick,Calder Willingham,Jim Thompson",,
Sunset Blvd.,110,1950,8.4,226K,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Drama,Film-Noir","William Holden,Gloria Swanson,Erich von Stroheim",,
The Lives of Others,137,2006,8.4,395K,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Drama,Mystery,Thriller","Ulrich Mühe,Martina Gedeck,Sebastian Koch",,
WALL·E,98,2008,8.4,1.1M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Animation,Adventure,Family","Ben Burtt,Elissa Knight,Jeff Garlin",,
Raiders of the Lost Ark,115,1981,8.4,982K,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Action,Adventure","Harrison Ford,Karen Allen,Paul Freeman",,
Django Unchained,165,2012,8.4,1.6M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Drama,Western","Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",,
Memento,113,2000,8.4,1.3M,A man with short-term memory loss attempts to track down his wife's murderer.,"Mystery,Thriller","Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",,
Apocalypse Now,147,1979,8.5,679K,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama,Mystery,War","John Milius,Francis Ford Coppola,Michael Herr",,
City Lights,87,1931,8.5,188K,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy,Drama,Romance","Charles Chaplin,Virginia Cherrill,Florence Lee",,
Alien,117,1979,8.5,898K,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,"Horror,Sci-Fi","Sigourney Weaver,Tom Skerritt,John Hurt",,
Rear Window,112,1954,8.5,500K,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","Mystery,Thriller","James Stewart,Grace Kelly,Wendell Corey",,
Cinema Paradiso,155,1988,8.5,267K,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Drama,Romance","Philippe Noiret,Enzo Cannavale,Antonella Attili",,
Once Upon a Time in the West,165,1968,8.5,336K,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western,"Sergio Donati,Sergio Leone,Dario Argento",,
Modern Times,87,1936,8.5,247K,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Comedy,Drama,Romance","Charles Chaplin,Paulette Goddard,Henry Bergman",,
The Intouchables,112,2011,8.5,876K,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Biography,Comedy,Drama","François Cluzet,Omar Sy,Anne Le Ny",,
Harakiri,133,1962,8.6,60K,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Action,Drama,Mystery","Tatsuya Nakadai,Akira Ishihama,Shima Iwashita",,
Grave of the Fireflies,89,1988,8.5,285K,A young boy and his little sister struggle to survive in Japan during World War II.,"Animation,Drama,War","Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",,
Casablanca,102,1942,8.5,581K,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Drama,Romance,War","Julius J. Epstein,Philip G. Epstein,Howard Koch",,
The Usual Suspects,106,1995,8.5,1.1M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Crime,Drama,Mystery","Kevin Spacey,Gabriel Byrne,Chazz Palminteri",,
American History X,119,1998,8.5,1.1M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"Crime,Drama","Edward Norton,Edward Furlong,Beverly D'Angelo",,
Gladiator,155,2000,8.5,1.5M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action,Adventure,Drama","Russell Crowe,Joaquin Phoenix,Connie Nielsen",,
The Lion King,88,1994,8.5,1.1M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation,Adventure,Drama","Irene Mecchi,Jonathan Roberts,Linda Woolverton",,
Léon: The Professional,110,1994,8.5,1.2M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Action,Crime,Drama","Jean Reno,Gary Oldman,Natalie Portman",,
Parasite,132,2019,8.5,843K,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Drama,Thriller","Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong",,
Psycho,109,1960,8.5,684K,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","Horror,Mystery,Thriller","Anthony Perkins,Janet Leigh,Vera Miles",,
The Pianist,150,2002,8.5,850K,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Biography,Drama,Music","Adrien Brody,Thomas Kretschmann,Frank Finlay",,
Spirited Away,125,2001,8.6,783K,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","Animation,Adventure,Family","Daveigh Chase,Suzanne Pleshette,Miyu Irino",,
Back to the Future,116,1985,8.5,1.2M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Adventure,Comedy,Sci-Fi","Michael J. Fox,Christopher Lloyd,Lea Thompson",,
Terminator 2: Judgment Day,137,1991,8.6,1.1M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.","Action,Sci-Fi","Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",,
Star Wars: Episode IV - A New Hope,121,1977,8.6,1.4M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Action,Adventure,Fantasy","Mark Hamill,Harrison Ford,Carrie Fisher",,
The Green Mile,189,1999,8.6,1.3M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Crime,Drama,Fantasy","Tom Hanks,Michael Clarke Duncan,David Morse",,
Life Is Beautiful,116,1997,8.6,708K,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Comedy,Drama,Romance","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",,
Interstellar,169,2014,8.6,1.9M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Adventure,Drama,Sci-Fi","Matthew McConaughey,Anne Hathaway,Jessica Chastain",,
City of God,130,2002,8.6,768K,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Crime,Drama","Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",,
Saving Private Ryan,169,1998,8.6,1.4M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Drama,War","Tom Hanks,Matt Damon,Tom Sizemore",,
The Silence of the Lambs,118,1991,8.6,1.5M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime,Drama,Thriller","Jodie Foster,Anthony Hopkins,Lawrence A. Bonney",,
Seven Samurai,207,1954,8.6,351K,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Action,Drama","Toshirô Mifune,Takashi Shimura,Keiko Tsushima",,
It's a Wonderful Life,130,1946,8.6,470K,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Drama,Family,Fantasy","Frances Goodrich,Albert Hackett,Frank Capra",,
Se7en,127,1995,8.6,1.7M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime,Drama,Mystery","Morgan Freeman,Brad Pitt,Kevin Spacey",,
One Flew Over the Cuckoo's Nest,133,1975,8.7,1M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Drama,"Lawrence Hauben,Bo Goldman,Ken Kesey",,
Goodfellas,145,1990,8.7,1.2M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Biography,Crime,Drama","Robert De Niro,Ray Liotta,Joe Pesci",,
The Matrix,136,1999,8.7,1.9M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action,Sci-Fi","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",,
Star Wars: Episode V - The Empire Strikes Back,124,1980,8.7,1.3M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Action,Adventure,Fantasy","Mark Hamill,Harrison Ford,Carrie Fisher",,
Inception,148,2010,8.8,2.4M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Action,Adventure,Sci-Fi","Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",,
The Lord of the Rings: The Two Towers,179,2002,8.8,1.7M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action,Adventure,Drama","J.R.R. Tolkien,Fran Walsh,Philippa Boyens",,
Fight Club,139,1999,8.8,2.2M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Drama,"Brad Pitt,Edward Norton,Meat Loaf",,
Forrest Gump,142,1994,8.8,2.1M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Drama,Romance","Tom Hanks,Robin Wright,Gary Sinise",,
"The Good, the Bad and the Ugly",178,1966,8.8,774K,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Adventure,Western","Luciano Vincenzoni,Sergio Leone,Agenore Incrocci",,
The Lord of the Rings: The Fellowship of the Ring,178,2001,8.8,1.9M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action,Adventure,Drama","J.R.R. Tolkien,Fran Walsh,Philippa Boyens",,
Pulp Fiction,154,1994,8.9,2.1M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime,Drama","John Travolta,Uma Thurman,Samuel L. Jackson",,
The Lord of the Rings: The Return of the King,201,2003,9.0,1.9M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action,Adventure,Drama","J.R.R. Tolkien,Fran Walsh,Philippa Boyens",,
